coname,gvkey,year,cusip,exchange,city,state,zip,spcode,ticker
AAR CORP,001004,2019,00036110,NYS,Wood Dale,IL,60191,SM,AIR
AMERICAN AIRLINES GROUP INC,001045,2019,02376R10,NAS,Fort Worth,TX,76155,SP,AAL
PINNACLE WEST CAPITAL CORP,001075,2019,72348410,NYS,Phoenix,AZ,85072,SP,PNW
PROG HOLDINGS INC,001076,2019,74319R10,NYS,Draper,UT,84020,MD,PRG
ABBOTT LABORATORIES,001078,2019,00282410,NYS,North Chicago,IL,60064,SP,ABT
ADVANCED MICRO DEVICES,001161,2019,00790310,NAS,Santa Clara,CA,95054,SP,AMD
AIR PRODUCTS & CHEMICALS INC,001209,2019,00915810,NYS,Allentown,PA,18195,SP,APD
ALASKA AIR GROUP INC,001230,2019,01165910,NYS,Seattle,WA,98188,SP,ALK
MATSON INC,001254,2019,57686G10,NYS,Honolulu,HI,96819,SM,MATX
ALLEGHANY CORP,001274,2019,01717510,NYS,New York,NY,10018,MD,Y
HONEYWELL INTERNATIONAL INC,001300,2019,43851610,NAS,Charlotte,NC,28202,SP,HON
SKYWORKS SOLUTIONS INC,001327,2019,83088M10,NAS,Irvine,CA,92617,SP,SWKS
HESS CORP,001380,2019,42809H10,NYS,New York,NY,10036,SP,HES
ABM INDUSTRIES INC,001410,2019,00095710,NYS,New York,NY,10006,SM,ABM
PRIMERICA INC,001414,2019,74164M10,NYS,Duluth,GA,30099,MD,PRI
US ECOLOGY INC,001439,2019,91734M10,NAS,Boise,ID,83702,SM,ECOL
AMERICAN ELECTRIC POWER CO,001440,2019,02553710,NAS,Columbus,OH,43215,SP,AEP
AMERICAN EXPRESS CO,001447,2019,02581610,NYS,New York,NY,10285,SP,AXP
AFLAC INC,001449,2019,00105510,NYS,Columbus,GA,31999,SP,AFL
AMERICAN INTERNATIONAL GROUP,001487,2019,02687478,NYS,New York,NY,10038,SP,AIG
AMERICAN VANGUARD CORP,001585,2019,03037110,NYS,Newport Beach,CA,92660,SM,AVD
AMETEK INC,001598,2019,03110010,NYS,Berwyn,PA,19312,SP,AME
AMGEN INC,001602,2019,03116210,NAS,Thousand Oaks,CA,91320,SP,AMGN
ANALOG DEVICES,001632,2019,03265410,NAS,Norwood,MA,02062,SP,ADI
ANDERSONS INC,001659,2019,03416410,NAS,Maumee,OH,43537,SM,ANDE
NABORS INDUSTRIES LTD,001661,2019,G6359F13,NYS,Hamilton,,HM 08,SM,NBR
APA CORP,001678,2019,03743Q10,NAS,Houston,TX,77056,SP,APA
APOGEE ENTERPRISES INC,001686,2019,03759810,NAS,Minneapolis,MN,55435,SM,APOG
APPLE INC,001690,2019,03783310,NAS,Cupertino,CA,95014,SP,AAPL
APPLIED MATERIALS INC,001704,2019,03822210,NAS,Santa Clara,CA,95052,SP,AMAT
ENERPAC TOOL GROUP CORP,001706,2019,29276510,NYS,Menomonee Falls,WI,53051,SM,EPAC
ARCHER-DANIELS-MIDLAND CO,001722,2019,03948310,NYS,Chicago,IL,60601,SP,ADM
ARCBEST CORP,001743,2019,03937C10,NAS,Fort Smith,AR,72916,SM,ARCB
ARROW ELECTRONICS INC,001773,2019,04273510,NYS,Centennial,CO,80112,MD,ARW
ASHLAND GLOBAL HOLDINGS INC,001794,2019,04418610,NYS,Covington,KY,41011,MD,ASH
REX AMERICAN RESOURCES CORP,001864,2019,76162410,NYS,Dayton,OH,45459,SM,REX
AUTODESK INC,001878,2019,05276910,NAS,San Rafael,CA,94903,SP,ADSK
AUTOMATIC DATA PROCESSING,001891,2019,05301510,NAS,Roseland,NJ,07068,SP,ADP
AVERY DENNISON CORP,001913,2019,05361110,NYS,Glendale,CA,91203,SP,AVY
AVNET INC,001919,2019,05380710,NAS,Phoenix,AZ,85034,MD,AVT
AZZ INC,001926,2019,00247410,NYS,Fort Worth,TX,76107,SM,AZZ
BADGER METER INC,001968,2019,05652510,NYS,Milwaukee,WI,53224,SM,BMI
BALCHEM CORP  -CL B,001979,2019,05766520,NAS,New Hampton,NY,10958,SM,BCPC
BALL CORP,001988,2019,05849810,NYS,Westminster,CO,80021,SP,BLL
POPULAR INC,002002,2019,73317470,NAS,Hato Rey,PR,00918,EX,BPOP
BANK OF HAWAII CORP,002005,2019,06254010,NYS,Honolulu,HI,96813,MD,BOH
BANK OF NEW YORK MELLON CORP,002019,2019,06405810,NYS,New York,NY,10286,SP,BK
BARNES GROUP INC,002049,2019,06780610,NYS,Bristol,CT,06010,SM,B
BARRICK GOLD CORP,002055,2019,06790110,NYS,Toronto,ON,M5J 2,EX,GOLD
BASSETT FURNITURE INDS,002080,2019,07020310,NAS,Bassett,VA,24055,EX,BSET
BAXTER INTERNATIONAL INC,002086,2019,07181310,NYS,Deerfield,IL,60015,SP,BAX
APPLIED INDUSTRIAL TECH INC,002101,2019,03820C10,NYS,Cleveland,OH,44115,SM,AIT
BECTON DICKINSON & CO,002111,2019,07588710,NYS,Franklin Lakes,NJ,07417,SP,BDX
BEL FUSE INC,002124,2019,07734730,NAS,Jersey City,NJ,07302,SM,BELFB
VERIZON COMMUNICATIONS INC,002136,2019,92343V10,NYS,New York,NY,10036,SP,VZ
BERKSHIRE HATHAWAY,002176,2019,08467070,NYS,Omaha,NE,68131,SP,BRK.B
BEST BUY CO INC,002184,2019,08651610,NYS,Richfield,MN,55423,SP,BBY
BIO-RAD LABORATORIES INC,002220,2019,09057220,NYS,Hercules,CA,94547,SP,BIO
BLACK HILLS CORP,002259,2019,09211310,NYS,Rapid City,SD,57702,MD,BKH
BLOCK H & R INC,002269,2019,09367110,NYS,Kansas City,MO,64105,MD,HRB
VALARIS LTD,002270,2019,G9460G10,NYS,Hamilton,,HM 11,EX,VAL
BOEING CO,002285,2019,09702310,NYS,Chicago,IL,60606,SP,BA
ROBERT HALF INTL INC,002312,2019,77032310,NYS,Menlo Park,CA,94025,SP,RHI
HEXION INC,002316,2019,60899Z00,OTH,Columbus,OH,43215,EX,0141A
RESOLUTE FOREST PRODUCTS INC,002337,2019,76117W10,NYS,Montreal,QC,H3C 2,EX,RFP
BRADY CORP,002352,2019,10467410,NYS,Milwaukee,WI,53223,SM,BRC
BRIGGS & STRATTON,002393,2019,10904310,OTH,Wauwatosa,WI,53222,EX,BGGSQ
BRISTOL-MYERS SQUIBB CO,002403,2019,11012210,NYS,New York,NY,10016,SP,BMY
BROWN FORMAN CORP,002435,2019,11563720,NYS,Louisville,KY,40210,SP,BF.B
CALERES INC,002436,2019,12950010,NYS,Saint Louis,MO,63105,SM,CAL
BRUNSWICK CORP,002444,2019,11704310,NYS,Mettawa,IL,60045,MD,BC
MATERION CORP,002448,2019,57669010,NYS,Mayfield Heights,OH,44124,SM,MTRN
MASTEC INC,002497,2019,57632310,NYS,Coral Gables,FL,33134,MD,MTZ
UNISYS CORP,002504,2019,90921430,NYS,Blue Bell,PA,19422,SM,UIS
LIVERAMP HOLDINGS INC,002536,2019,53815P10,NYS,San Francisco,CA,94104,MD,RAMP
CIGNA CORP,002547,2019,12552310,NYS,Bloomfield,CT,06002,SP,CI
CNA FINANCIAL CORP,002558,2019,12611710,NYS,Chicago,IL,60606,EX,CNA
CSX CORP,002574,2019,12640810,NAS,Jacksonville,FL,32202,SP,CSX
CTS CORP,002577,2019,12650110,NYS,Lisle,IL,60532,SM,CTS
CABOT CORP,002593,2019,12705510,NYS,Boston,MA,02210,MD,CBT
CACI INTL INC  -CL A,002596,2019,12719030,NYS,Arlington,VA,22201,MD,CACI
CALAMP CORP,002615,2019,12812610,NAS,Irvine,CA,92618,SM,CAMP
CALIFORNIA WATER SERVICE GP,002628,2019,13078810,NYS,San Jose,CA,95112,SM,CWT
CAMPBELL SOUP CO,002663,2019,13442910,NYS,Camden,NJ,08103,SP,CPB
CONSTELLATION BRANDS,002710,2019,21036P10,NYS,Victor,NY,14564,SP,STZ
CARDINAL HEALTH INC,002751,2019,14149Y10,NYS,Dublin,OH,43017,SP,CAH
CARLISLE COS INC,002771,2019,14233910,NYS,Scottsdale,AZ,85254,MD,CSL
CARPENTER TECHNOLOGY CORP,002787,2019,14428510,NYS,Philadelphia,PA,19103,SM,CRS
CASEYS GENERAL STORES INC,002807,2019,14752810,NAS,Ankeny,IA,50021,MD,CASY
CASTLE (A M) & CO,002811,2019,14841140,OTH,Oak Brook,IL,60523,EX,CTAM
CATERPILLAR INC,002817,2019,14912310,NYS,Deerfield,IL,60015,SP,CAT
CATO CORP  -CL A,002818,2019,14920510,NYS,Charlotte,NC,28273,SM,CATO
CAVCO INDUSTRIES INC,002820,2019,14956810,NAS,Phoenix,AZ,85012,SM,CVCO
CLECO CORP,002859,2019,12561W10,NYS,Pineville,LA,71360,EX,CNL
LUMEN TECHNOLOGIES INC,002884,2019,55024110,NYS,Monroe,LA,71203,SP,LUMN
MAGELLAN HEALTH INC,002940,2019,55907920,NAS,Phoenix,AZ,85034,SM,MGLN
